"Word" "Freq"
"1" "the" 61847
"2" "of" 29391
"3" "and" 26817
"4" "a" 21626
"5" "in" 18214
"6" "to" 16284
"7" "it" 10875
"8" "is" 9982
"9" "to" 9343
"10" "was" 9236
"11" "I" 8875
"12" "for" 8412
"13" "that" 7308
"14" "you" 6954
"15" "he" 6810
"16" "be*" 6644
"17" "with" 6575
"18" "on" 6475
"19" "by" 5096
"20" "at" 4790
"21" "have*" 4735
"22" "are" 4707
"23" "not" 4626
"24" "this" 4623
"25" "�Õs" 4599
"26" "but" 4577
"27" "had" 4452
"28" "they" 4332
"29" "his" 4285
"30" "from" 4134
"31" "she" 3801
"32" "that" 3792
"33" "which" 3719
"34" "or" 3707
"35" "we" 3578
"36" "s" 3490
"37" "an" 3430
"38" "~n't" 3328
"39" "were" 3227
"40" "as" 3006
"41" "do" 2802
"42" "been" 2686
"43" "their" 2608
"44" "has" 2593
"45" "would" 2551
"46" "there" 2532
"47" "what" 2493
"48" "will" 2470
"49" "all" 2436
"50" "if" 2369
"51" "can" 2354
"52" "her*" 2183
"53" "said" 2087
"54" "who" 2055
"55" "one" 1962
"56" "so" 1893
"57" "up" 1795
"58" "as" 1774
"59" "them" 1733
"60" "some" 1712
"61" "when" 1712
"62" "could" 1683
"63" "him" 1649
"64" "into" 1634
"65" "its" 1632
"66" "then" 1595
"67" "two" 1561
"68" "out" 1542
"69" "time" 1542
"70" "my" 1525
"71" "about" 1524
"72" "did" 1434
"73" "your" 1383
"74" "now" 1382
"75" "me" 1364
"76" "no" 1343
"77" "other" 1336
"78" "only" 1298
"79" "just" 1277
"80" "more" 1275
"81" "these" 1254
"82" "also" 1248
"83" "people" 1241
"84" "know" 1233
"85" "any" 1220
"86" "first" 1193
"87" "see" 1186
"88" "very" 1165
"89" "new" 1145
"90" "may" 1135
"91" "well" 1119
"92" "should" 1112
"93" "her*" 1085
"94" "like" 1064
"95" "than" 1033
"96" "how" 1016
"97" "get" 995
"98" "way" 958
"99" "one" 953
"100" "our" 950
"101" "made" 943
"102" "got" 932
"103" "after" 927
"104" "think" 916
"105" "between" 903
"106" "many" 902
"107" "years" 902
"108" "er" 896
"109" "ve" 891
"110" "those" 888
"111" "go" 881
"112" "being" 862
"113" "because*" 852
