"year" "totBirths" "single" "twin" "triplet" "quadruplet" "quintupletOrMore"
"1" 2014 3988076 3848214 135336 4233 246 47
"2" 2013 3932181 3795157 132324 4364 270 66
"3" 2012 3952841 3816898 131024 4598 276 45
"4" 2011 3953590 3816904 131269 5137 239 41
"5" 2010 3999386 3861321 132562 5153 313 37
"6" 2009 4130665 3987108 137217 5905 355 80
"7" 2008 4247694 4102766 138660 5877 345 46
"8" 2007 4316233 4170845 138961 5967 369 91
"9" 2006 4265555 4121930 137085 6118 355 67
"10" 2005 4138349 3998533 133122 6208 418 68
"11" 2004 4112052 3972558 132219 6750 439 86
"12" 2003 4089950 3953622 128665 7110 468 85
"13" 2002 4021726 3889191 125134 6898 434 69
"14" 2001 4025933 3897216 121246 6885 501 85
"15" 2000 4058814 3932573 118916 6742 506 77
"16" 1999 3959417 3837789 114307 6742 512 67
"17" 1998 3941553 3823258 110670 6919 627 79
"18" 1997 3880894 3770020 104137 6148 510 79
"19" 1996 3891494 3784805 100750 5298 560 81
"20" 1995 3899589 3797880 96736 4551 365 57
